traffic_byte_counter,ping_loss_rate,isp,technology,state
0.0019030455,0.0,CenturyLink,Fiber,MN
0.0054206476,0.0,CenturyLink,Fiber,MN
0.0035127942,0.0,CenturyLink,Fiber,MN
0.0033068017,0.0,CenturyLink,Fiber,MN
0.0022427463,0.0,CenturyLink,Fiber,MN
0.00558916,0.0,CenturyLink,Fiber,MN
0.0034356555,0.0,CenturyLink,Fiber,MN
0.006160341,0.0,CenturyLink,Fiber,MN
0.0023265595,0.0,CenturyLink,Fiber,MN
0.004787452,0.0,CenturyLink,Fiber,MN
0.0036843687,0.0,CenturyLink,Fiber,MN
0.0041035493,0.0,CenturyLink,Fiber,MN
0.0031534415,0.0,CenturyLink,Fiber,MN
0.008285401,0.0,CenturyLink,Fiber,MN
0.0037823087,0.0,CenturyLink,Fiber,MN
0.004572925,0.0,CenturyLink,Fiber,MN
0.0050213384,0.0,CenturyLink,Fiber,MN
0.0056906412,0.0,CenturyLink,Fiber,MN
0.0037058052,0.0,CenturyLink,Fiber,MN
0.00403843,0.0,CenturyLink,Fiber,MN
0.007586282,0.0,CenturyLink,Fiber,MN
0.005372159,0.0,CenturyLink,Fiber,MN
0.0060371407,0.0,CenturyLink,Fiber,MN
0.004440832,0.0,CenturyLink,Fiber,MN
0.0033096047,0.0,CenturyLink,Fiber,MN
0.0061394107,0.0,CenturyLink,Fiber,MN
0.0061244126,0.0,CenturyLink,Fiber,MN
0.0060945665,0.0,CenturyLink,Fiber,MN
0.024806473,0.0,CenturyLink,Fiber,MN
0.009073363,0.0,CenturyLink,Fiber,MN
0.02351109,0.0,CenturyLink,Fiber,MN
0.009091589,0.0,CenturyLink,Fiber,MN
0.008310863,0.0,CenturyLink,Fiber,MN
0.006314013,0.0,CenturyLink,Fiber,MN
0.013586343,0.0,CenturyLink,Fiber,MN
0.006631477,0.0,CenturyLink,Fiber,MN
0.0096681,0.0,CenturyLink,Fiber,MN
0.0062072393,0.0,CenturyLink,Fiber,MN
0.014350166,0.0,CenturyLink,Fiber,MN
0.021978607,0.0,CenturyLink,Fiber,MN
0.042803038,0.0,CenturyLink,Fiber,MN
0.010926145,0.0,CenturyLink,Fiber,MN
0.012555999,0.0,CenturyLink,Fiber,MN
0.0067819133,0.0,CenturyLink,Fiber,MN
0.011386306,0.0,CenturyLink,Fiber,MN
0.0046868646,0.0,CenturyLink,Fiber,MN
0.019866586,0.0,CenturyLink,Fiber,MN
0.026078193,0.0,CenturyLink,Fiber,MN
0.0195632,0.0,CenturyLink,Fiber,MN
0.014081651,0.0,CenturyLink,Fiber,MN
0.017346114,0.0,CenturyLink,Fiber,MN
0.006629979,0.0,CenturyLink,Fiber,MN
0.008297147,0.0,CenturyLink,Fiber,MN
0.005708547,0.0,CenturyLink,Fiber,MN
0.010924396,0.0,CenturyLink,Fiber,MN
0.012601341,0.0,CenturyLink,Fiber,MN
0.0045189066,0.0,CenturyLink,Fiber,OK
0.016192067,0.0,CenturyLink,Fiber,OK
0.0024042202,0.0,CenturyLink,Fiber,OK
0.01653906,0.0,CenturyLink,Fiber,OK
0.0064657154,0.0,CenturyLink,Fiber,OK
0.016764807,0.0,CenturyLink,Fiber,OK
0.0029057898,0.0,CenturyLink,Fiber,OK
0.033435695,0.0,CenturyLink,Fiber,OK
0.0116625475,0.0,CenturyLink,Fiber,OK
0.009824332,0.0,CenturyLink,Fiber,OK
0.002434311,0.0,CenturyLink,Fiber,OK
0.027917264,0.0,CenturyLink,Fiber,OK
0.01075442,0.0,CenturyLink,Fiber,OK
0.0056772614,0.0,CenturyLink,Fiber,OK
0.003415554,0.0,CenturyLink,Fiber,OK
0.02666678,0.0,CenturyLink,Fiber,OK
0.006463941,0.0,CenturyLink,Fiber,OK
0.011547785,0.0,CenturyLink,Fiber,OK
0.0024334807,0.0,CenturyLink,Fiber,OK
0.0061182124,0.0,CenturyLink,Fiber,OK
0.0060386383,0.0,CenturyLink,Fiber,OK
0.005125927,0.0,CenturyLink,Fiber,OK
0.002481006,0.0,CenturyLink,Fiber,OK
0.004028061,0.0,CenturyLink,Fiber,OK
0.012443493,0.0,CenturyLink,Fiber,OK
0.00952389,0.0,CenturyLink,Fiber,OK
0.003780204,0.0,CenturyLink,Fiber,OK
0.0042887847,0.0,CenturyLink,Fiber,OK
0.0058457367,0.0,CenturyLink,Fiber,OK
0.004948057,0.0,CenturyLink,Fiber,OK
0.0024549013,0.0,CenturyLink,Fiber,OK
0.024110643,0.0,CenturyLink,Fiber,OK
0.006350297,0.0,CenturyLink,Fiber,OK
0.0055901855,0.0,CenturyLink,Fiber,OK
0.0027038835,0.0,CenturyLink,Fiber,OK
0.0041176365,0.0,CenturyLink,Fiber,OK
0.004854078,0.0,CenturyLink,Fiber,OK
0.011787152,0.0,CenturyLink,Fiber,OK
0.0024133371,0.0,CenturyLink,Fiber,OK
0.009509351,0.0,CenturyLink,Fiber,OK
0.008708801,0.0,CenturyLink,Fiber,OK
0.025393179,0.0,CenturyLink,Fiber,OK
0.0024976076,0.0,CenturyLink,Fiber,OK
0.0033916351,0.0,CenturyLink,Fiber,OK
0.009221221,0.0,CenturyLink,Fiber,OK
0.014610652,0.0,CenturyLink,Fiber,OK
0.0039924188,0.0,CenturyLink,Fiber,OK
0.004727103,0.0,CenturyLink,Fiber,OK
0.00833468,0.0,CenturyLink,Fiber,OK
0.0074290475,0.0,CenturyLink,Fiber,OK
0.0034817653,0.0,CenturyLink,Fiber,OK
0.06243282,0.0,CenturyLink,Fiber,OK
0.05325932,0.0,CenturyLink,Fiber,OK
0.009795184,0.0,CenturyLink,Fiber,OK
0.002855621,0.0,CenturyLink,Fiber,OK
0.0041252407,0.0,CenturyLink,Fiber,OK
0.008719777,0.0,CenturyLink,Fiber,LA
0.066142045,0.0,CenturyLink,Fiber,LA
0.0070529743,0.0,CenturyLink,Fiber,LA
0.04508896,0.0,CenturyLink,Fiber,LA
0.06430419,0.0,CenturyLink,Fiber,LA
0.06914864,0.0,CenturyLink,Fiber,LA
0.0095447665,0.0,CenturyLink,Fiber,LA
0.02831251,0.0,CenturyLink,Fiber,LA
0.012916124,0.0,CenturyLink,Fiber,LA
0.019563982,0.0,CenturyLink,Fiber,LA
0.007043776,0.0,CenturyLink,Fiber,LA
0.010567453,0.0,CenturyLink,Fiber,LA
0.009459344,0.0,CenturyLink,Fiber,LA
0.005445696,0.0,CenturyLink,Fiber,LA
0.00685872,0.0,CenturyLink,Fiber,LA
0.0026468819,0.0,CenturyLink,Fiber,LA
0.0567145,0.0,CenturyLink,Fiber,LA
0.033178233,0.0,CenturyLink,Fiber,LA
0.004277401,0.0,CenturyLink,Fiber,LA
0.029086031,0.0,CenturyLink,Fiber,LA
0.006392955,0.0,CenturyLink,Fiber,LA
0.014856122,0.0,CenturyLink,Fiber,LA
0.019610025,0.0,CenturyLink,Fiber,LA
0.02290665,0.0,CenturyLink,Fiber,LA
0.011925817,0.0,CenturyLink,Fiber,LA
0.020474145,0.0,CenturyLink,Fiber,LA
0.0035806622,0.0,CenturyLink,Fiber,LA
0.065905355,0.0,CenturyLink,Fiber,LA
0.037629675,0.0,CenturyLink,Fiber,LA
0.013305482,0.0,CenturyLink,Fiber,LA
0.0036290057,0.0,CenturyLink,Fiber,LA
0.022805858,0.0,CenturyLink,Fiber,LA
0.054927114,0.0,CenturyLink,Fiber,LA
0.047396123,0.0,CenturyLink,Fiber,LA
0.04856858,0.0,CenturyLink,Fiber,LA
0.017715571,0.0,CenturyLink,Fiber,LA
0.05687692,0.0,CenturyLink,Fiber,LA
0.012933741,0.0,CenturyLink,Fiber,LA
0.008628171,0.0,CenturyLink,Fiber,LA
0.011500031,0.0,CenturyLink,Fiber,LA
0.05084941,0.0,CenturyLink,Fiber,LA
0.021539964,0.0,CenturyLink,Fiber,LA
0.013487619,0.0,CenturyLink,Fiber,LA
0.033242274,0.0,CenturyLink,Fiber,LA
0.0766374,0.0,CenturyLink,Fiber,LA
0.02854611,0.0,CenturyLink,Fiber,LA
0.010376465,0.0,CenturyLink,Fiber,LA
0.032802682,0.0,CenturyLink,Fiber,LA
0.011257664,0.0,CenturyLink,Fiber,LA
0.014823407,0.0,CenturyLink,Fiber,LA
0.0078777,0.0,CenturyLink,Fiber,LA
0.0044552865,0.0,CenturyLink,Fiber,LA
0.006296529,0.0,CenturyLink,Fiber,LA
0.01537887,0.0,CenturyLink,Fiber,LA
0.019600596,0.0,CenturyLink,Fiber,LA
0.020468464,0.0,CenturyLink,Fiber,LA
0.005304887,0.0,CenturyLink,Fiber,OK
0.007375962,0.0,CenturyLink,Fiber,OK
0.0069525205,0.0,CenturyLink,Fiber,OK
0.0056713573,0.0,CenturyLink,Fiber,OK
0.009123791,0.0,CenturyLink,Fiber,OK
0.007203965,0.0,CenturyLink,Fiber,OK
0.0069863824,0.0,CenturyLink,Fiber,OK
0.0055205137,0.0,CenturyLink,Fiber,OK
0.0097105615,0.0,CenturyLink,Fiber,OK
0.00599144,0.0,CenturyLink,Fiber,OK
0.0054812594,0.0,CenturyLink,Fiber,OK
0.0035919768,0.0,CenturyLink,Fiber,OK
0.020899968,0.0,CenturyLink,Fiber,OK
0.007326827,0.0,CenturyLink,Fiber,OK
0.007080914,0.0,CenturyLink,Fiber,OK
0.005344279,0.0,CenturyLink,Fiber,OK
0.01818171,0.0,CenturyLink,Fiber,OK
0.0070474283,0.0,CenturyLink,Fiber,OK
0.009293836,0.0,CenturyLink,Fiber,OK
0.010885991,0.0,CenturyLink,Fiber,OK
0.011183988,0.0,CenturyLink,Fiber,OK
0.007155162,0.0,CenturyLink,Fiber,OK
0.0066897236,0.0,CenturyLink,Fiber,OK
0.0057386453,0.0,CenturyLink,Fiber,OK
0.024369454,0.0,CenturyLink,Fiber,OK
0.0072878585,0.0,CenturyLink,Fiber,OK
0.0066796243,0.0,CenturyLink,Fiber,OK
0.008130356,0.0,CenturyLink,Fiber,OK
0.011492496,0.0,CenturyLink,Fiber,OK
0.0070769675,0.0,CenturyLink,Fiber,OK
0.0067465142,0.0,CenturyLink,Fiber,OK
0.0055392976,0.0,CenturyLink,Fiber,OK
0.012203978,0.0,CenturyLink,Fiber,OK
0.0070071984,0.0,CenturyLink,Fiber,OK
0.0064759515,0.0,CenturyLink,Fiber,OK
0.003505753,0.0,CenturyLink,Fiber,OK
0.020255372,0.0,CenturyLink,Fiber,OK
0.0060323514,0.0,CenturyLink,Fiber,OK
0.005175831,0.0,CenturyLink,Fiber,OK
0.005666392,0.0,CenturyLink,Fiber,OK
0.01574004,0.0,CenturyLink,Fiber,OK
0.019749325,0.0,CenturyLink,Fiber,OK
0.006955693,0.0,CenturyLink,Fiber,OK
0.004039665,0.0,CenturyLink,Fiber,OK
0.031184843,0.0,CenturyLink,Fiber,OK
0.007069362,0.0,CenturyLink,Fiber,OK
0.006743565,0.0,CenturyLink,Fiber,OK
0.0057862327,0.0,CenturyLink,Fiber,OK
0.013842261,0.0,CenturyLink,Fiber,OK
0.0072333226,0.0,CenturyLink,Fiber,OK
0.0105303265,0.0,CenturyLink,Fiber,OK
0.022722583,0.0,CenturyLink,Fiber,OK
0.019294878,0.0,CenturyLink,Fiber,OK
0.007100602,0.0,CenturyLink,Fiber,OK
0.006679131,0.0,CenturyLink,Fiber,OK
0.0040012123,0.0,CenturyLink,Fiber,OK
0.010829572,0.0,CenturyLink,Fiber,VA
0.0060775247,0.0,CenturyLink,Fiber,VA
0.005529665,0.0,CenturyLink,Fiber,VA
0.012805306,0.0,CenturyLink,Fiber,VA
0.0067166337,0.0,CenturyLink,Fiber,VA
0.007512694,0.0,CenturyLink,Fiber,VA
0.0055146995,0.0,CenturyLink,Fiber,VA
0.01204535,0.0,CenturyLink,Fiber,VA
0.006864408,0.0,CenturyLink,Fiber,VA
0.007400632,0.0,CenturyLink,Fiber,VA
0.0055689234,0.0,CenturyLink,Fiber,VA
0.012277099,0.0,CenturyLink,Fiber,VA
0.006466633,0.0,CenturyLink,Fiber,VA
0.0075717345,0.0,CenturyLink,Fiber,VA
0.005554184,0.0,CenturyLink,Fiber,VA
0.009557526,0.0,CenturyLink,Fiber,VA
0.0072412663,0.0,CenturyLink,Fiber,VA
0.0069862395,0.0,CenturyLink,Fiber,VA
0.0053102714,0.0,CenturyLink,Fiber,VA
0.00558631,0.0,CenturyLink,Fiber,VA
